Pesticide Name,URL,Allowed or prohibited,Check name,Cas Number,Carcinogen,Cas name,ADI,General human health issues,Wesslings Tests?,AGQ Tests?
Flupyradifurone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2620.htm,Approved,flupyradifurone (Ref: BYI 02960),951659-40-8,Not carcinogenic,"4-(((6-chloro-3-pyridinyl)methyl)(2,2-difluoroethyl)amino)-2(5H)-furanone",0.064,Liver and thyroid target organs,Not tested,Not tested
Flupyrsulfuron-Methyl-Sodium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/341.htm,Not approved,flupyrsulfuron-methyl-sodium,144740-54-5,Carcinogenic,"sodium salt of methyl 2-[[[[(4,6-dimethoxy-2-pyrimidinyl)amino]carbonyl]amino]sulfonyl]-6-(trifluoromethyl)-3-pyridinecarboxylate",0.035,Possible liver toxicant,Not tested,Not tested
Flupyrsulfuron-Methyl-Sodium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/341.htm,Not approved,flupyrsulfuron-methyl-sodium,144740-54-5,Carcinogenic,"sodium salt of methyl 2-[[[[(4,6-dimethoxy-2-pyrimidinyl)amino]carbonyl]amino]sulfonyl]-6-(trifluoromethyl)-3-pyridinecarboxylate",0.035,Possible liver toxicant,Not tested,Not tested
Fluquinconazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/342.htm,Approved,fluquinconazole (Ref: AE C597265),136426-54-5,Carcinogenic,"3-(2,4-dichlorophenyl)-6-fluoro-2-(1H-1,2,4-triazol-1-yl)-4(3H)-quinazolinone",0.002,Possible kidney & liver toxicant,Not tested,Not tested
Flurenol-Butyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2932.htm,Not approved,flurenol-butyl,2314-09-2,-,butyl 9-hydroxy-9H-fluorene-9-carboxylate,-,No further information available,Not tested,Not tested
Fluridone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/345.htm,Not approved,fluridone,59756-60-4,Not carcinogenic,1-methyl-3-phenyl-5-[3-(trifluoromethyl)phenyl]-4(1H)-pyridinone,-,No further information available,Not tested,Not tested
Flurochloridone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/346.htm,Approved,flurochloridone (Ref: R 40244),61213-25-0,-,3-chloro-4-(chloromethyl)-1-[3-(trifluoromethyl)phenyl]-2-pyrrolidinone,0.04,Possible liver and testes toxicant,Not tested,Not tested
Fluroxypyr-Meptyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1120.htm,Approved,fluroxypyr-meptyl,81406-37-3,Not carcinogenic,"1-methylheptyl ((4-amino-3,5-dichloro-6-fluoro-2-pyridinyl)oxy)acetate",0.8,Possible kidney toxicant,Not tested,Not tested
Fluroxypyr-Meptyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1120.htm,Approved,fluroxypyr-meptyl,81406-37-3,Not carcinogenic,"1-methylheptyl ((4-amino-3,5-dichloro-6-fluoro-2-pyridinyl)oxy)acetate",0.8,Possible kidney toxicant,Not tested,Not tested
Flurprimidol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/348.htm,Not approved,flurprimidol (Ref: EL 500),56425-91-3,Not carcinogenic,α-(1-methylethyl)-α-(4-(trifluoromethoxy)phenyl)-5-pyrimidinemethanol,0.003,Possible liver and kidney toxicant,Not tested,Not tested
Flurtamone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/349.htm,Approved,flurtamone (Ref: RPA 590515),96525-23-4,Carcinogenic,5-(methylamino)-2-phenyl-4-[3-(trifluoromethyl)phenyl]-3(2H)-furanone,0.03,"Possible kidney, liver and spleen toxicant",Not tested,Not tested
Flusilazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/350.htm,Not approved,flusilazole (Ref: DPX H6573),85509-19-9,Carcinogenic,"1-((bis(4-fluorophenyl)methylsilyl)methyl)-1H-1,2,4-triazole",0.002,"Endocrine issues - Inhibition of aromatase activity, decrease of estrogens production",Not tested,Not tested
Flusulfamide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/351.htm,Not approved,flusulfamide (Ref: MTF 651),106917-52-6,-,4-chloro-N-(2-chloro-4-nitrophenyl)-3-(trifluoromethyl)benzenesulfonamide,-,No further information available,Not tested,Not tested
Fluthiacet Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1499.htm,Not approved,fluthiacet methyl (Ref: CGA 248757),117337-19-6,Carcinogen,-,-,Possible liver and pancreas toxicantUSEPA - probable human carcinogen,Not tested,Not tested
Flutolanil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/352.htm,Approved,flutolanil (Ref: NNF 136),66332-96-5,Not carcinogenic,N-(3-(1-methylethoxy)phenyl)-2-(trifluoromethyl)benzamide,0.09,"May cause slight erythema in susceptible individualsPossible thyroid, liver and spleen toxicant",Not tested,Not tested
Flutriafol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/353.htm,Approved,flutriafol (Ref: PP 450),76674-21-0,Not carcinogenic,"α-(2-fluorophenyl)-α-(4-fluorophenyl)-1H-1,2,4-triazole-1-ethanol",0.01,Possible liver toxicantMay cause anaemiaEndocrine issues - Weak estrogen inhibition,Not tested,Not tested
Fluxofenim,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1582.htm,Not approved,fluxofenim (Ref: CGA 133205),88485-37-4,-,"1-(4-chlorophenyl)-2,2,2-trifluoroethanone O-(1,3-dioxolan-2-ylmethyl)oxime",-,"Prolonged inhalation may cause headache, dizziness, breathing difficulty, or nauseaLiver, kidney and thyroid toxicant",Not tested,Not tested
Folpet,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/354.htm,Approved,folpet,133-07-3,Carcinogenic,"2-((trichloromethyl)thio)-1H-isoindole-1,3(2H)-dione",0.1,USEPA - possible human carcinogen at high doses,Not tested,Not tested
Fonofos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/356.htm,Not approved,fonofos (Ref: N-2790),944-22-9,Not carcinogenic,(RS)-O-ethyl S-phenyl ethylphosphonodithioate,-,"Highly toxicIngestion may cause nausea, abdominal cramps, and diarrhea",Not tested,Not tested
Forchlorfenuron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/358.htm,Approved,forchlorfenuron (Ref: KT 30),68157-60-8,Carcinogen,N-(2-chloro-4-pyridinyl)-N'-phenylurea,0.05,"May cause protein metabolism disturbances, emphysema and weight lossPossible kidney & liver toxicant",Not tested,Not tested
Formaldehyde,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/359.htm,Not approved,formaldehyde,Acts by protein denaturation,Carcinogen,-,-,"IARC group 1 carcinogen, UK HSE - carcinogenSevere obstructive tracheobronchitis may result from inhalation causing throat spasms and a build up of fluid in the lungs, leading to deathMay cause serious damage of the gastrointestinal tract",Not tested,Not tested
Formetanate Hydrochloride,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2933.htm,Approved,formetanate hydrochloride,23422-53-9,Not carcinogenic,"N,N-dimethyl-N'-(3-(((methylamino)carbonyl)oxy]phenyl)methanimidamide hydrochloride (1:1)",0.004,Highly toxicAChE inhibition - whole blood and brain,Not tested,Not tested
Formparanate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2541.htm,Not approved,formparanate (Ref: ENT 27305 ),17702-57-7,Not carcinogenic,"N,N-dimethyl-N'-[2-methyl-4-[[(methylamino)carbonyl]oxy]phenyl]methanimidamide",-,"May cause headaches, blurred vision, sweating and nauseaLiver and kidney toxicantMay cause pulmonary edema",Not tested,Not tested
Fosamine Ammonium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2934.htm,Not approved,fosamine ammonium,25954-13-6,Not carcinogenic,ammonium ethyl P-(aminocarbonyl)phosphonate,-,No further information available,Not tested,Not tested
Fosamine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/362.htm,Not approved,fosamine (Ref: DPX 1108),59682-52-9,Not carcinogenic,ethyl hydrogen (aminocarbonyl)phosphonate,-,No further information available,Not tested,Not tested
Fosetyl-Aluminium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/363.htm,Approved,fosetyl-aluminium (Ref: RP 32545),39148-24-8,Not carcinogenic,aluminium tris-O-ethylphosphonate,3,"May cause nausea, vomiting and diarrhea if ingestedMay cause cough, tachypnea and wheezing if inhaled",Not tested,Not tested
Fosetyl-Aluminium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/363.htm,Approved,fosetyl-aluminium (Ref: RP 32545),39148-24-8,Not carcinogenic,aluminium tris-O-ethylphosphonate,3,"May cause nausea, vomiting and diarrhea if ingestedMay cause cough, tachypnea and wheezing if inhaled",Not tested,Not tested
Fosmethilan,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2786.htm,Not approved,fosmethilan (Ref: NE-79 168),83733-82-8,-,"S-(((2-chlorophenyl)(1-oxobutyl)amino]methyl) O,O-dimethyl phosphorodithioate",-,No further information available,Not tested,Not tested
Fospirate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1501.htm,Not approved,fospirate (Ref: ENT 27521),5598-52-7,-,"dimethyl 3,5,6-trichloro-2-pyridinyl phosphate",-,No further information available,Not tested,Not tested
Fosthiazate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/364.htm,Approved,fosthiazate (Ref: IKI 1145),98886-44-3,Not carcinogenic,O-ethyl S-(1-methylpropyl) (2-oxo-3-thiazolidinyl)phosphonothioate,0.004,No further information available,Not tested,Not tested
Fosthietan,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1565.htm,Not approved,fosthietan (Ref: CL 64475),21548-32-3,-,"diethyl 1,3-dithietan-2-ylidenephosphoramidate",-,Very toxic,Not tested,Not tested
Fuberidazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/365.htm,Approved,fuberidazole,3878-19-1,Carcinogenic,2-(2-furanyl)-1H-benzimidazole,0.0072,Moderately toxic,Not tested,Not tested
Fuphenthiourea,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2679.htm,Not approved,fuphenthiourea,-,-,2-nitrobenzoic acid 2-[[[[5-(2-chlorophenyl)-2-furanyl]carbonyl]amino]thioxomethyl]hydrazide,-,No information available,Not tested,Not tested
Furalane,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2949.htm,Not approved,furalane,1708-41-4,-,"2-(2-furanyl)-1,3-dioxolane",-,No information available,Not tested,Not tested
Furalaxyl-M,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2908.htm,Not approved,furalaxyl-M,57764-08-6,Not carcinogenic,"methyl N-(2,6-dimethylphenyl)-N-(2-furanylcarbonyl)-D-alaninate",-,No further information available,Not tested,Not tested
Furalaxyl-M,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2908.htm,Not approved,furalaxyl-M,57764-08-6,Not carcinogenic,"methyl N-(2,6-dimethylphenyl)-N-(2-furanylcarbonyl)-D-alaninate",-,No further information available,Not tested,Not tested
Furametpyr,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1208.htm,Not approved,furametpyr (Ref: S 82658),123572-88-3,-,"5-chloro-N-(1,3-dihydro-1,1,3-trimethyl-4-isobenzofuranyl)-1,3-dimethyl-1H-pyrazole-4-carboxamide",-,No further information available,Not tested,Not tested
Furathiocarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/367.htm,Not approved,furathiocarb (Ref: CGA 73102),65907-30-4,-,"2,3-dihydro-2,2-dimethyl-7-benzofuranyl 2,4-dimethyl-5-oxo-6-oxa-3-thia-2,4-diazadecanoate",0.0035,No further information available,Not tested,Not tested
Furconazole-Cis,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2784.htm,Not approved,furconazole-cis (Ref: LS 840606),112839-32-4,-,"rel-1-[[(2R,5R)-2-(2,4-dichlorophenyl)tetrahydro-5-(2,2,2-trifluoroethoxy)-2-furanyl]methyl]-1H-1,2,4-triazole",-,No further information available,Not tested,Not tested
Furethrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2785.htm,Not approved,furethrin,17080-02-3,-,"(RS)-3-furfuryl-2-methyl-4-oxocyclopent-2-enyl (1RS,3RS;1RS,3SR)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate",-,"Ingestion may cause nausea, dissiness, vomiting and epigastric pain",Not tested,Not tested
Furfural,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/368.htm,Not approved,furfural,98-01-1,Carcinogenic,2-furancarboxaldehyde,-,Highly toxicUSEPA - probable human carcinogen,Not tested,Not tested
Furilazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1577.htm,Not approved,furilazole (Ref: MON 13900),121776-33-8,Carcinogenic,"3-(dichloroacetyl)-5-(2-furanyl)-2,2-dimethyloxazolidine",-,May cause decreases in body weightMay cause haematological and histopathological effectsLiver and Kidney toxicantUSEPA - probable human carcinogen,Not tested,Not tested
Furmecyclox,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1566.htm,Not approved,furmecyclox (Ref: BAS 389F),60568-05-0,Carcinogen,"methyl N-cyclohexyl-2,5-dimethyl-3-furohydroxamate",-,No further information available,Not tested,Not tested
Furyloxyfen,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2434.htm,Not approved,furyloxyfen,80020-41-3,-,3-[5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrophenoxy]tetrahydrofuran,-,No further information available,Not tested,Not tested
Gamma-Cyhalothrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/369.htm,Approved,gamma-cyhalothrin (Ref: DE 225),76703-62-3,Not carcinogenic,"(S)-cyano(3-phenoxyphenyl)methyl (1R,3R)-3-[(1Z)-2-chloro-3,3,3-trifluoro-1-propenyl]-2,2-dimethylcyclopropanecarboxylate",0.0012,Harmful by inhalationPossible liver toxicant,Not tested,Not tested
Gliftor,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2661.htm,Not approved,gliftor,8065-71-2,-,"1-chloro-3-fluoro-2-propanol mixture with 1,3-difluoro-2-propanol",-,No further information available,Not tested,Not tested
Gliotoxin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2793.htm,Not approved,gliotoxin (Ref: SN 12879),67-99-2,-,"(3R,6S,10aR)-6-hydroxy-3-(hydroxymethyl)-2-methyl-2,3,6,10-tetrahydro-5aH-3,10a-epidithiopyrazino(1,2-a)indole-1,4-dione",-,Has immunosuppressive properties,Not tested,Not tested
Glufosinate-P,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1667.htm,Not approved,glufosinate-P,35597-44-5,Not carcinogenic,(2S)-2-amino-4-(hydroxymethylphosphinyl)butanoic acid,-,Possible kidney toxicant,Not tested,Not tested
Glufosinate-Ammonium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/372.htm,Not approved,glufosinate-ammonium (Ref: HOE 039866),77182-82-2,Not carcinogenic,2-amino-4-(hydroxymethylphosphinyl)butanoic acid monoammonium salt,0.021,"Harmful if ingested, inhaled or absorbed through the skinPossible kidney, bladder, blood and lungs toxicant",Not tested,Not tested
Glufosinate-P,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1667.htm,Not approved,glufosinate-P,35597-44-5,Not carcinogenic,(2S)-2-amino-4-(hydroxymethylphosphinyl)butanoic acid,-,Possible kidney toxicant,Not tested,Not tested
Glutaraldehyde,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1567.htm,Not approved,glutaraldehyde,111-30-8,Not carcinogenic,pentanedial,-,"May cause irreversible eye damageMay cause asthmatic signs and symptoms in hyper-reactive individualsSuspected toxicant of blood, liver, spleen, CNS and other major organsSkin and respiratory sensitiser",Not tested,Not tested
Glyodin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2794.htm,Not approved,glyodin,556-22-9,-,"2-heptadecyl-4,5-dihydro-1H-imidazoline monoacetate",-,No further information available,Not tested,Not tested
"Glyphosate, Isopropylamine Salt",https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2395.htm,Approved,"glyphosate, isopropylamine salt (Ref: MON 0139)",38641-94-0,Carcinogenic,2-(phosphonomethylamino)acetate,-,IARC group 2A carcinogenPossible bladder and liver toxicant,Not tested,Not tested
"Glyphosate, Potassium Salt",https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2396.htm,Approved,"glyphosate, potassium salt",70901-12-1,Carcinogenic,potassium N-[(hydroxyphosphinato)methyl]glycine,-,IARC group 2A carcinogenPossible bladder and liver toxicant,Not tested,Not tested
Glyphosine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2795.htm,Not approved,glyphosine (Ref: CP 41845),2439-99-8,-,"N,N-bis(phosphonomethyl)glycine",-,No information available,Not tested,Not tested
Griseofulvin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1807.htm,Not approved,griseofulvin,126-07-8,Carcinogen,"7-chloro-4,6-dimethoxycoumaran-3-one-2-spiro-1'-(2'-methoxy-6'-methylcyclohex-2'-en-4'-one)",Subcutaneous LD50 > 12000 mg kg-1,"IARC group 2B carcinogenMay cause nausea, diarrhea, hives, hives and fatiguePossible blood and liver toxicant",Not tested,Not tested
Guadipyr,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3107.htm,Not approved,guadipyr,-,-,1-nitro-3-(6'-chloro-3-pyridylmethyl)-4-(E)-amyl aldehyde aminoguanidine,-,No information available,Not tested,Not tested
Guazatine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/374.htm,Not approved,guazatine (Ref: EM 379),108173-90-6,Carcinogenic,"1,1'-(Iminobis(octamethylene))diguanidine",0.0048,Moderately toxicAlthough no conclusive evidence regarding carcinogenity available some sutudies raise concerns,Not tested,Not tested
Halacrinate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2796.htm,Not approved,halacrinate (Ref: CGA 30599),34462-96-9,-,7-bromo-5-chloro-8-quinolinyl 2-propenoate,-,No information available,Not tested,Not tested
Halauxifen-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2631.htm,Approved,halauxifen-methyl (Ref: DE-729),943831-98-9,Not carcinogenic,methyl 4-amino-3-chloro-6-(4-chloro-2-fluoro-3-methoxyphenyl)-2-pyridinecarboxylate,0.058,"Possible liver, kideny and bladder toxicant",Not tested,Not tested
Halauxifen-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2631.htm,Approved,halauxifen-methyl (Ref: DE-729),943831-98-9,Not carcinogenic,methyl 4-amino-3-chloro-6-(4-chloro-2-fluoro-3-methoxyphenyl)-2-pyridinecarboxylate,0.058,"Possible liver, kideny and bladder toxicant",Not tested,Not tested
Halfenprox,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/375.htm,Not approved,halfenprox (Ref: MTI 732),111872-58-3,-,1-[[2-[4-(bromodifluoromethoxy)phenyl]-2-methylpropoxy]methyl]-3-phenoxybenzene,-,Potent brain toxicant,Not tested,Not tested
Halosafen,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2662.htm,Not approved,halosafen (Ref: AC1L4H8Q),77227-69-1,-,5-[2-chloro-6-fluoro-4-(trifluoromethyl)phenoxy]-N-(ethylsulfonyl)-2-nitrobenzamide,-,No further information available,Not tested,Not tested
Halosulfuron-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1117.htm,Approved,halosulfuron-methyl (Ref: CGA 288239),100784-20-1,Not carcinogenic,"methyl 3-chloro-5-(((((4,6-dimethoxy-2-pyrimidinyl)amino)carbonyl)amino)sulfonyl)-1-methyl-1H-pyrazole-4-carboxylate",0.063,May cause lethagyHarmful if swallowedMay cause haematological changes,Not tested,Not tested
Haloxydine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2663.htm,Not approved,haloxydine (Ref: PP 493),2693-61-0,-,"3,5-dichloro-2,6-difluoro-4-pyridinol",-,No further information available,Not tested,Not tested
Haloxyfop-P-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1068.htm,Approved,haloxyfop-P-methyl (Ref: DE 535),72619-32-0,Not carcinogenic,methyl (2R)-2-(4-((3-chloro-5-(trifluoromethyl)-2-pyridinyl)oxy)phenoxy)propanoate,0.00065,Harmful if swallowed,Not tested,Not tested
Haloxyfop-Etotyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1067.htm,Not approved,haloxyfop-etotyl (Ref: DOWCO 453EE),87237-48-7,-,2-ethoxyethyl 2-[4-[[3-chloro-5-(trifluoromethyl)-2-pyridinyl]oxy]phenoxy]propanoate,0.0003,No further information available,Not tested,Not tested
Haloxyfop-P-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1068.htm,Approved,haloxyfop-P-methyl (Ref: DE 535),72619-32-0,Not carcinogenic,methyl (2R)-2-(4-((3-chloro-5-(trifluoromethyl)-2-pyridinyl)oxy)phenoxy)propanoate,0.00065,Harmful if swallowed,Not tested,Not tested
Haloxyfop-P-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1068.htm,Approved,haloxyfop-P-methyl (Ref: DE 535),72619-32-0,Not carcinogenic,methyl (2R)-2-(4-((3-chloro-5-(trifluoromethyl)-2-pyridinyl)oxy)phenoxy)propanoate,0.00065,Harmful if swallowed,Not tested,Not tested
Heptachlor,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/378.htm,Not approved,heptachlor (Ref: ENT 15152),76-44-8,Carcinogen,"1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-4,7-methano-1H-indene",0.0001,BioaccumulatesLiver toxicantEndocrine issues - Binding to cellular estrogen and androgen receptors,Not tested,Not tested
Heptamaloxyloglucan,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1531.htm,Approved,heptamaloxyloglucan (Ref: EL101GV),870721-81-6,Not carcinogenic,-,None allocated,No further information available,Not tested,Not tested
Heptenophos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/379.htm,Not approved,heptenophos (Ref: OMS 1845),23560-59-0,Not carcinogenic,"7-chlorobicyclo[3.2.0]hepta-2,6-dien-6-yl dimethyl phosphate",0.003,No further information available,Not tested,Not tested
Heterophos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2593.htm,Not approved,heterophos,40626-35-5,-,O-ethyl O-phenyl S-propyl phosphorothioate,-,Toxic if ingested,Not tested,Not tested
Hexachloroacetone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2797.htm,Not approved,hexachloroacetone (Ref: GC 1106),116-16-5,Not carcinogenic,"1,1,1,3,3,3-hexachloro-2-propanone",-,No further information available,Not tested,Not tested
Hexachlorobenzene,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/380.htm,Not approved,hexachlorobenzene (Ref: ENT 1719),118-74-1,Carcinogen,perchlorobenzene,-,Extremely hazardousIARC group 2B carcinogenEndocrine issues - Severely disruption of thyroid hormone production,Not tested,Not tested
Hexachlorocyclohexane,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3111.htm,Not approved,hexachlorocyclohexane,608-73-1,Carcinogen,"1,2,3,4,5,6-hexachlorocyclohexane",-,"Highly toxicMay cause vomiting, muscle spasms, tremor, hyperirritabilityHigh doses can lead to coma and may be fatal",Not tested,Not tested
Hexaconazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/382.htm,Not approved,hexaconazole (Ref: PP 523),79983-71-4,Carcinogenic,"(RS)-2-(2,4-dichlorophenyl)-1-(1H-1,2,4-triazol-1-yl)hexan-2-ol",0.005,"USEPA - possible human carcinogenEndocrine issues - Inhibition of aromatase activity, decrease of the estrogens production",Not tested,Not tested
Hexaflumuron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/383.htm,Not approved,hexaflumuron (Ref: XRD 473),86479-06-3,-,"N-(((3,5-dichloro-4-(1,1,2,2-tetrafluoroethoxy)phenyl)amino)carbonyl)-2,6-difluorobenzamide",0.02,Potential blood toxicant,Not tested,Not tested
Hexaflurate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2664.htm,Not approved,hexaflurate (Ref: AC1E2290),17029-22-0,Carcinogen,potassium hexafluoroarsenate,-,May cause dermatitis,Not tested,Not tested
Hexazinone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/384.htm,Not approved,hexazinone (Ref: DPX A3674),51235-04-2,Not carcinogenic,"3-cyclohexyl-6-(dimethylamino)-1-methyl-1,3,5-triazine-2,4(1H,3H)-dione",0.05,Highly toxic,Not tested,Not tested
Hexythiazox,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/385.htm,Approved,hexythiazox (Ref: NA 73),78587-05-0,Carcinogenic,"(4R,5R)-rel-5-(4-chlorophenyl)-N-cyclohexyl-4-methyl-2-oxo-3-thiazolidinecarboxamide",0.03,Possible liver toxicantUSEPA - probable human carcinogen,Not tested,Not tested
Huanjunzuo,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2590.htm,Not approved,huanjunzuo,129586-32-9,-,"cis-1-(4-chlorophenyl)-2-(1H-1,2,4-triazol-1-yl)-cycloheptanol",-,No information available,Not tested,Not tested
Hydramethylnon,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/386.htm,Not approved,hydramethylnon (Ref: BAS 315l),67485-29-4,Carcinogenic,"tetrahydro-5,5-dimethyl-2(1H)-pyrimidinone [3-[4-(trifluoromethyl)phenyl]-1-[2-[4-(trifluoromethyl)phenyl]ethenyl]-2-propenylidene]hydrazone",-,USEPA - possible human carcinogen,Not tested,Not tested
Hydrogen Peroxide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/387.htm,Approved - not a PPP as a commodity substance,hydrogen peroxide,7722-84-1,Carcinogenic,hydrogen peroxide,None allocated,"May cause skin dermatitisIARC group 3 carcinogen,Health impacts related to concentration",Not tested,Not tested
Hydroprene,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1025.htm,Not approved,hydroprene (Ref: OMS 1696),41205-09-8,Not carcinogenic,"ethyl (E,E)-(RS)-3,7,11-trimethyldodeca-2,4-dienoate",-,"Probable kidney, liver and gastrointestinal toxicant",Not tested,Not tested
Hymexazol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/388.htm,Approved,hymexazol (Ref: F 319),10004-44-1,Not carcinogenic,5-methyl-3(2H)-isoxazolone,0.17,"Highly toxicRisk of serious damage to eyesLiver, thyroid and kidney toxicant",Not tested,Not tested
Hyquincarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2804.htm,Not approved,hyquincarb (Ref: Hoe 25682),56716-21-3,-,"5,6,7,8-tetrahydro-2-methyl-4-quinolinyl dimethylcarbamate",-,No information available,Not tested,Not tested
Icaridin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/389.htm,Not approved,icaridin (Ref: KBR 3023),119515-38-7,Not carcinogenic,1-methylpropyl 2-(2-hydroxyethyl)-1-piperidinecarboxylate,-,No further information available,Not tested,Not tested
Imazalil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/390.htm,Approved,imazalil (Ref: R 023979),35554-44-0,Carcinogenic,"1-(2-(2,4-dichlorophenyl)-2-(2-propenyloxy)ethyl)-1H-imidazole",0.025,Possible liver and kidney toxicantUSEPA - probable human carcinogen,Not tested,Not tested
Imazamethabenz-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/391.htm,Not approved,imazamethabenz-methyl (Ref: AC 222293),81405-85-8,Not carcinogenic,"methyl 2-[4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl]-4(or 5)-methylbenzoate",0.0625,May cause irreversible eye damage,Not tested,Not tested
